left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,Activity,label
2918.0,3179.0,7.0,Standing,1
602.0,2595.0,10.0,Standing,1
3185.0,3244.0,16.0,Standing,1
3374.0,3123.0,13.0,Standing,1
3282.0,3435.0,11.0,Standing,1
2215.0,2679.0,14.0,Standing,1
3208.0,3414.0,14.0,Standing,1
2466.0,3330.0,10.0,Standing,1
2912.0,3441.0,11.0,Standing,1
973.0,1283.0,13.0,Standing,1
2639.0,1561.0,11.0,Standing,1
3080.0,2386.0,9.0,Standing,1
3029.0,1474.0,11.0,Standing,1
3058.0,3027.0,12.0,Standing,1
2961.0,3110.0,9.0,Standing,1
3322.0,3257.0,10.0,Standing,1
2963.0,3305.0,11.0,Standing,1
3558.0,3591.0,8.0,Standing,1
3593.0,3519.0,7.0,Standing,1
3290.0,3236.0,9.0,Standing,1
367.0,3272.0,12.0,Standing,1
2384.0,3184.0,9.0,Standing,1
2848.0,3458.0,10.0,Standing,1
680.0,1551.0,12.0,Standing,1
1.0,510.0,13.0,Standing,1
2000.0,2830.0,22.0,Standing,1
1337.0,687.0,23.0,Standing,1
2700.0,181.0,25.0,Standing,1
3438.0,2663.0,16.0,Standing,1
3373.0,3165.0,17.0,Standing,1
3545.0,3467.0,16.0,Standing,1
3554.0,3438.0,18.0,Standing,1
2831.0,3183.0,16.0,Standing,1
2094.0,2169.0,13.0,Standing,1
1904.0,1027.0,13.0,Standing,1
822.0,2820.0,14.0,Standing,1
3463.0,3474.0,7.0,Standing,1
3667.0,3596.0,7.0,Standing,1
3726.0,3655.0,9.0,Standing,1
1709.0,1157.0,13.0,Standing,1
1.0,1.0,13.0,Standing,1
3165.0,3239.0,15.0,Standing,1
3560.0,3297.0,13.0,Standing,1
3705.0,3626.0,10.0,Standing,1
3716.0,3650.0,12.0,Standing,1
2805.0,2741.0,15.0,Standing,1
1.0,1.0,5.0,Standing,1
2299.0,344.0,5.0,Standing,1
2059.0,124.0,1.0,Standing,1
3186.0,1.0,2.0,Standing,1
3167.0,1.0,5.0,Standing,1
1252.0,2991.0,6.0,Standing,1
2634.0,2904.0,7.0,Standing,1
2157.0,2232.0,7.0,Standing,1
1.0,2163.0,2.0,Standing,1
1.0,2971.0,1.0,Standing,1
1.0,3034.0,4.0,Standing,1
1121.0,2544.0,7.0,Standing,1
1996.0,2145.0,7.0,Standing,1
2739.0,1.0,2.0,Standing,1
3389.0,2830.0,14.0,Standing,1
3399.0,3151.0,17.0,Standing,1
3454.0,3375.0,15.0,Standing,1
3383.0,3367.0,11.0,Standing,1
3522.0,3522.0,10.0,Standing,1
3620.0,3530.0,10.0,Standing,1
3594.0,3473.0,11.0,Standing,1
1652.0,685.0,11.0,Standing,1
2922.0,2245.0,14.0,Standing,1
2112.0,3100.0,15.0,Standing,1
3506.0,3400.0,14.0,Standing,1
3416.0,2965.0,13.0,Standing,1
2350.0,1847.0,12.0,Standing,1
3488.0,3550.0,14.0,Standing,1
3551.0,3633.0,12.0,Standing,1
3526.0,3687.0,10.0,Standing,1
3449.0,3684.0,11.0,Standing,1
2588.0,2871.0,12.0,Standing,1
2074.0,3069.0,15.0,Standing,1
2029.0,3325.0,13.0,Standing,1
2474.0,2984.0,12.0,Standing,1
2435.0,3249.0,9.0,Standing,1
535.0,3400.0,7.0,Standing,1
2542.0,2909.0,8.0,Standing,1
993.0,1041.0,12.0,Standing,1
3096.0,3084.0,15.0,Standing,1
3518.0,3515.0,15.0,Standing,1
3598.0,3633.0,13.0,Standing,1
3484.0,3356.0,12.0,Standing,1
3125.0,2567.0,12.0,Standing,1
3537.0,1981.0,12.0,Standing,1
