time_stamp,left_fsr_reading_mv,right_fsr_reading_mv,hip_distance,left_vibration_trigger,right_vibration_trigger,hip_vibration_trigger,Name,Activity
944011775,3512.0,3628.0,7.0,0,0,0,Nick_Stankus,Sitting
944011776,908.0,3357.0,14.0,0,0,0,Nick_Stankus,Sitting
944011778,3408.0,2899.0,8.0,0,0,0,Nick_Stankus,Sitting
944011778,3523.0,3371.0,6.0,0,0,0,Nick_Stankus,Sitting
944011779,3581.0,3475.0,6.0,0,0,0,Nick_Stankus,Sitting
944011779,3562.0,3598.0,8.0,0,0,0,Nick_Stankus,Sitting
944011779,3598.0,3617.0,11.0,0,0,0,Nick_Stankus,Sitting
944011779,3635.0,3590.0,10.0,0,0,0,Nick_Stankus,Sitting
944011780,3673.0,3639.0,8.0,0,0,0,Nick_Stankus,Sitting
944011780,3658.0,3607.0,10.0,0,0,0,Nick_Stankus,Sitting
944011780,2360.0,2316.0,18.0,0,0,0,Nick_Stankus,Sitting
944011780,2081.0,434.0,28.0,0,0,0,Nick_Stankus,Sitting
944011782,2729.0,85.0,13.0,0,0,0,Nick_Stankus,Sitting
944011782,3526.0,1950.0,10.0,0,0,0,Nick_Stankus,Sitting
944011783,3634.0,3330.0,9.0,0,0,0,Nick_Stankus,Sitting
944011783,3639.0,3413.0,8.0,0,0,0,Nick_Stankus,Sitting
944011783,3640.0,3407.0,10.0,0,0,0,Nick_Stankus,Sitting
944011783,3616.0,3367.0,14.0,0,0,0,Nick_Stankus,Sitting
944011784,3592.0,3508.0,12.0,0,0,0,Nick_Stankus,Sitting
944011784,3558.0,3618.0,10.0,0,0,0,Nick_Stankus,Sitting
944011784,3269.0,3449.0,12.0,0,0,0,Nick_Stankus,Sitting
944011784,501.0,2686.0,19.0,0,0,0,Nick_Stankus,Sitting
944011787,3022.0,3169.0,8.0,0,0,0,Nick_Stankus,Sitting
944011787,3119.0,3387.0,8.0,0,0,0,Nick_Stankus,Sitting
944011787,3088.0,3509.0,9.0,0,0,0,Nick_Stankus,Sitting
944011787,3361.0,3613.0,10.0,0,0,0,Nick_Stankus,Sitting
944011788,3333.0,3584.0,11.0,0,0,0,Nick_Stankus,Sitting
944011788,3425.0,3645.0,9.0,0,0,0,Nick_Stankus,Sitting
944011788,3453.0,3577.0,9.0,0,0,0,Nick_Stankus,Sitting
944011788,3494.0,3408.0,17.0,0,0,0,Nick_Stankus,Sitting
944011789,3211.0,2686.0,27.0,0,0,0,Nick_Stankus,Sitting
944011791,3251.0,2192.0,10.0,0,0,0,Nick_Stankus,Sitting
944011791,3572.0,3135.0,9.0,0,0,0,Nick_Stankus,Sitting
944011791,3636.0,3141.0,7.0,0,0,0,Nick_Stankus,Sitting
944011792,3665.0,3085.0,7.0,0,0,0,Nick_Stankus,Sitting
944011792,3653.0,3266.0,9.0,0,0,0,Nick_Stankus,Sitting
944011792,3647.0,3533.0,12.0,0,0,0,Nick_Stankus,Sitting
944011792,3636.0,3558.0,11.0,0,0,0,Nick_Stankus,Sitting
944011793,3625.0,3595.0,9.0,0,0,0,Nick_Stankus,Sitting
944011793,3533.0,3455.0,10.0,1,0,0,Nick_Stankus,Sitting
944011793,3458.0,3339.0,16.0,1,0,0,Nick_Stankus,Sitting
944011793,3176.0,3175.0,23.0,1,0,0,Nick_Stankus,Sitting
944011794,2488.0,1840.0,28.0,0,0,0,Nick_Stankus,Sitting
944011796,3307.0,3224.0,8.0,0,0,0,Nick_Stankus,Sitting
944011796,3484.0,3511.0,9.0,0,0,0,Nick_Stankus,Sitting
944011797,3471.0,3543.0,11.0,0,0,0,Nick_Stankus,Sitting
944011797,3587.0,3529.0,11.0,0,0,0,Nick_Stankus,Sitting
944011797,3613.0,3517.0,9.0,0,0,0,Nick_Stankus,Sitting
944011797,3609.0,3561.0,7.0,0,0,0,Nick_Stankus,Sitting
944011798,3574.0,3452.0,9.0,0,0,0,Nick_Stankus,Sitting
944011798,2563.0,3261.0,14.0,0,0,0,Nick_Stankus,Sitting
944011798,2759.0,3176.0,22.0,0,0,0,Nick_Stankus,Sitting
944011801,3309.0,2914.0,8.0,0,0,0,Nick_Stankus,Sitting
944011801,3624.0,3510.0,9.0,0,0,0,Nick_Stankus,Sitting
944011801,3624.0,3580.0,9.0,0,0,0,Nick_Stankus,Sitting
944011801,3619.0,3561.0,11.0,0,0,0,Nick_Stankus,Sitting
944011801,3392.0,3498.0,9.0,0,0,0,Nick_Stankus,Sitting
944011802,3682.0,3655.0,8.0,0,0,0,Nick_Stankus,Sitting
944011802,3688.0,3668.0,8.0,0,0,0,Nick_Stankus,Sitting
944011802,3584.0,3259.0,12.0,0,0,0,Nick_Stankus,Sitting
944011802,3596.0,2620.0,24.0,0,0,0,Nick_Stankus,Sitting
944011805,2759.0,1659.0,9.0,0,0,0,Nick_Stankus,Sitting
944011806,3340.0,2614.0,10.0,0,0,0,Nick_Stankus,Sitting
944011806,3331.0,2733.0,11.0,0,0,0,Nick_Stankus,Sitting
944011806,3353.0,3065.0,10.0,0,0,0,Nick_Stankus,Sitting
944011806,3441.0,3414.0,8.0,0,0,0,Nick_Stankus,Sitting
944011807,3611.0,3581.0,6.0,0,0,0,Nick_Stankus,Sitting
944011807,3663.0,3632.0,7.0,0,0,0,Nick_Stankus,Sitting
944011807,3531.0,3476.0,12.0,0,0,0,Nick_Stankus,Sitting
944011807,3469.0,3357.0,21.0,0,0,0,Nick_Stankus,Sitting
944011810,3624.0,516.0,8.0,0,0,0,Nick_Stankus,Sitting
944011811,3586.0,1.0,9.0,0,0,0,Nick_Stankus,Sitting
944011811,3598.0,242.0,11.0,0,0,0,Nick_Stankus,Sitting
944011811,3615.0,1698.0,10.0,0,0,0,Nick_Stankus,Sitting
944011811,3608.0,3342.0,9.0,0,0,0,Nick_Stankus,Sitting
944011812,3548.0,3524.0,8.0,0,0,0,Nick_Stankus,Sitting
944011812,2904.0,3259.0,16.0,0,0,0,Nick_Stankus,Sitting
944011812,1933.0,2659.0,28.0,0,0,0,Nick_Stankus,Sitting
944011815,2886.0,1446.0,6.0,0,0,0,Nick_Stankus,Sitting
944011815,3335.0,2473.0,7.0,0,0,0,Nick_Stankus,Sitting
944011815,3192.0,2312.0,8.0,0,0,0,Nick_Stankus,Sitting
944011815,2186.0,2483.0,9.0,0,0,0,Nick_Stankus,Sitting
944011816,2857.0,2940.0,10.0,0,0,0,Nick_Stankus,Sitting
944011816,3209.0,3176.0,8.0,0,0,0,Nick_Stankus,Sitting
944011816,3468.0,3574.0,7.0,0,0,0,Nick_Stankus,Sitting
944011816,2968.0,3309.0,12.0,0,0,0,Nick_Stankus,Sitting
944011817,966.0,3429.0,22.0,0,0,0,Nick_Stankus,Sitting
944011832,1321.0,1.0,3.0,0,0,0,Nick_Stankus,Sitting
944011832,2440.0,1.0,2.0,0,0,0,Nick_Stankus,Sitting
944011839,648.0,108.0,3.0,0,0,0,Nick_Stankus,Sitting
944011848,2657.0,1.0,3.0,0,0,0,Nick_Stankus,Sitting
944011850,1.0,1.0,3.0,0,0,0,Nick_Stankus,Sitting
944011862,1.0,1.0,1.0,0,0,0,Nick_Stankus,Sitting
944011870,1.0,1.0,4.0,0,0,0,Nick_Stankus,Sitting
944011883,2775.0,1.0,3.0,0,0,0,Nick_Stankus,Sitting
944011883,2323.0,1.0,3.0,0,0,0,Nick_Stankus,Sitting
944011885,1562.0,1.0,4.0,0,0,0,Nick_Stankus,Sitting
944011885,1685.0,722.0,2.0,0,0,0,Nick_Stankus,Sitting
944011888,1.0,1.0,2.0,0,0,0,Nick_Stankus,Sitting
944011930,2769.0,1829.0,10.0,0,0,0,Nick_Stankus,Walking
944011931,3002.0,539.0,11.0,0,0,0,Nick_Stankus,Walking
944011931,3296.0,1350.0,13.0,0,0,0,Nick_Stankus,Walking
944011931,3568.0,2489.0,15.0,0,0,0,Nick_Stankus,Walking
